COHORT_ID,ACTOR_ID,SESSION_KEY,REQUEST_KEY,EVENT_KEY,REQUEST_TS,LATENCY_MS,ITEM_COUNT,INPUT_TEXT,ENGAGED_POSITIONS,ORDERED_POSITIONS,ORDER_VALUE,ALT_FLOW_STATUS,NORMALIZED_TEXT,TRIGGER_MODE
Alternate,88f67539-9f0e-4154-9d8b-60d7d65a9e4f,878b7d654647751f38b9b6c51ac17c12,a805411b-a550-4940-82f1-9b6a693cf453,27fb62a7cc3789a60fd5ef0c14264191,2026-02-12 17:31:35.051744-05:00,87,39,sealnt shelf,,,,no_aux_response,sealnt shelf,inlineSuggest
Alternate,88f67539-9f0e-4154-9d8b-60d7d65a9e4f,878b7d654647751f38b9b6c51ac17c12,63698dd6-c553-493c-afe6-5ed0629bd71a,27e2ba63a244baca25f133cb824a0a35,2026-02-12 17:31:35.832253-05:00,36,8,screw plumbing,[7],,,no_aux_response,screw plumbing,resultsPage
Alternate,9c512fad-ae5d-455c-b121-a1b5882c173e,dc615eb1fa746436130a6ca817bdb9ab,04d4d393-4389-4532-a65d-18185024a4fd,404520e2722dab5d21226b9a89158551,2026-02-12 19:22:36.351416-05:00,146,166,doorway deck,"[1, 2]",,,warm_store_hit,doorway deck,resultsPage
Alternate,9c512fad-ae5d-455c-b121-a1b5882c173e,dc615eb1fa746436130a6ca817bdb9ab,7a0a35d8-d662-4a6f-8706-6c2399cc803b,a4dbb6eb72111dcd81d89e90de51e5d1,2026-02-12 19:22:37.394491-05:00,167,58,primer shelf,"[2, 12]",,,warm_store_hit,primer shelf,resultsPage
Alternate,9c512fad-ae5d-455c-b121-a1b5882c173e,dc615eb1fa746436130a6ca817bdb9ab,59bd2b91-f27b-4e85-960d-f3b4f96cc718,99b7e8c0d6f418e6549be013c6168c13,2026-02-12 19:22:39.049627-05:00,203,18,songue,,,,fresh_compute_saved,songue,inlineSuggest
Alternate,9c512fad-ae5d-455c-b121-a1b5882c173e,dc615eb1fa746436130a6ca817bdb9ab,6013d7d5-467d-41f1-b68f-2b8cf1e19920,07d1c615ddadb2d53c121584316f4bdc,2026-02-12 19:22:40.054361-05:00,151,3,songue premium,,,,fresh_compute_saved,songue premium,inlineSuggest
Alternate,9c512fad-ae5d-455c-b121-a1b5882c173e,dc615eb1fa746436130a6ca817bdb9ab,ff03e47f-5e5d-4cb1-982a-16a96112c97c,d0c5c6d6a71235f1834d4192460eaa8e,2026-02-12 19:22:40.418174-05:00,187,5,songue,,,,fresh_compute_saved,songue,inlineSuggest
Alternate,40a59b60-2c11-4931-a0c6-2f9a22d5cf35,cc19b7725b10d35cd32c82a91baef952,393bbfec-f2e2-476b-b8da-6e4d31765c34,a3870b40fe2895b49e1ff1f1f99eef14,2026-02-12 19:48:04.149432-05:00,97,18,mouse large 6ft,[1],,,no_aux_response,mouse large 6ft,resultsPage
Alternate,40a59b60-2c11-4931-a0c6-2f9a22d5cf35,cc19b7725b10d35cd32c82a91baef952,6b425998-ac4e-45ca-a419-ba1df9303aad,824aa565efe6fd86fe15e6ed072d8a31,2026-02-12 19:48:04.430498-05:00,87,158,cabinet vi,,,,warm_store_hit,cabinet vinyl,inlineSuggest
Alternate,49cdc375-0fb4-41e5-81f6-1167c790fbaa,3c86bebf533d8765b46e41694ac57a0d,0a25c637-de22-4c19-bb7e-fd61da5ecfc3,39271ba0d80b5dfb2d1abad2e048a7a2,2026-02-12 19:59:05.224691-05:00,77,7,symbo,,,,no_aux_response,symbo,inlineSuggest
Alternate,49cdc375-0fb4-41e5-81f6-1167c790fbaa,3c86bebf533d8765b46e41694ac57a0d,b65a08fd-4b3c-46b6-bed1-fbae8c648848,b3e195167041ddeb49d068004d83f729,2026-02-12 19:59:05.508766-05:00,133,110,ladder,,,,warm_store_hit,ladder,inlineSuggest
Baseline,286d2766-d25f-403b-8f9c-9b70c9199a2b,b2a68d58d67621c3a7841804db271df1,ffe80112-5909-4ff2-a55b-fa5212de8f30,ccbcdb778dbb18e33ab5a52a5af03dc9,2026-02-12 21:00:01.997757-05:00,66,7,semper exterior 1.2,,,,no_aux_response,semper exterior 1.2,inlineSuggest
Baseline,f7e33e03-a393-4101-97c8-1732cfa5e066,62a91a3b9b04c04e6effe78b662e2b9c,4f58d84b-2d27-428c-b6c8-dc88ba3b3fa4,6dab6b9455966cf31b37c773f1cd416e,2026-02-12 21:12:55.662818-05:00,70,43,drill heater,"[2, 6]",,,no_aux_response,drill heater,resultsPage
Baseline,f7e33e03-a393-4101-97c8-1732cfa5e066,62a91a3b9b04c04e6effe78b662e2b9c,1198d031-5972-44f0-b228-daf2f010fa50,c70985e6fed5df218393925dbd1ba807,2026-02-12 21:12:56.501082-05:00,90,53,dooway vinyl,,,,no_aux_response,dooway vinyl,inlineSuggest
Baseline,f7e33e03-a393-4101-97c8-1732cfa5e066,62a91a3b9b04c04e6effe78b662e2b9c,0545f112-f049-420e-9750-0828edc54440,406e6d2a3a356cecc7e3fcdc9b44b229,2026-02-12 21:12:57.842712-05:00,76,29,ddill drywall,,,,no_aux_response,ddill drywall,inlineSuggest
Alternate,71aa8af4-06af-449e-9783-cd8de4b91ed3,c4e9ee7b3f4a5b052a56fe880c63ae9a,baae664d-8f70-42dd-861b-e1eef058361d,554a454af7eaedd0d2519a92bffad6bf,2026-02-12 21:29:18.551856-05:00,89,5,cannon premium 18meters,,,,no_aux_response,cannon premium 18meters,resultsPage
Alternate,71aa8af4-06af-449e-9783-cd8de4b91ed3,c4e9ee7b3f4a5b052a56fe880c63ae9a,98782b20-d7be-4a2e-8e2b-a0fe48730834,378b12d2446960119e062082758652ad,2026-02-12 21:29:18.834627-05:00,225,4,mouse acer 12m,,,,fresh_compute_saved,mouse acer 12m,inlineSuggest
Baseline,61828049-0a1d-4e11-b0c2-f8fceca9a5ed,210988200c08eb928e19f71e7a0e264b,9bc238c7-b447-4197-ae56-70c4f82fff40,df3cf3ab8ca65c8d8f74a247d8abacab,2026-02-12 21:32:30.559857-05:00,106,115,screw viynl,,,,no_aux_response,screw viynl,inlineSuggest
Baseline,61828049-0a1d-4e11-b0c2-f8fceca9a5ed,210988200c08eb928e19f71e7a0e264b,f1b5596f-7281-4ea8-b0f6-7e7bfee784c0,ee7a250145c126915036921ca1af14fd,2026-02-12 21:32:30.957809-05:00,88,65,window wood,,,,no_aux_response,window wood,resultsPage
Baseline,e4fd0c72-f3c3-40ba-8051-55d6860adae4,58352afdb78007a35761c9175235aeee,8c7d5e01-895c-4047-a3c6-47b6baef66a0,50fcda30f8f44dc1df7d2d1ca5895b68,2026-02-12 21:38:59.765096-05:00,52,98,tile,,,,no_aux_response,tile,inlineSuggest
Baseline,e4fd0c72-f3c3-40ba-8051-55d6860adae4,58352afdb78007a35761c9175235aeee,a88faf4c-1b5e-4b58-ba25-0d5ce460be2f,c0304f2bf51a11bd9f11375b3232725c,2026-02-12 21:39:00.941879-05:00,83,18,plank roof,,,,no_aux_response,plank roof,inlineSuggest
Baseline,e4fd0c72-f3c3-40ba-8051-55d6860adae4,58352afdb78007a35761c9175235aeee,69314f32-b0ac-4e44-9d67-466966ea8e60,7b7016b7baa5b178c8395f3d86adc3a8,2026-02-12 21:39:01.586014-05:00,55,70,primer shelf,"[2, 5]",,,no_aux_response,primer shelf,resultsPage
Baseline,4ba2eea3-9da3-4bd4-a66a-a985a58c562c,75bc74d8c6d7fd3d3e13e7f3b6c98728,29d61e44-800d-4cc7-8fce-de5e10d3a52d,7ace1d5847ae86ea21c461a28e7fcdf1,2026-02-12 22:11:24.022618-05:00,61,48,hinge roof,,,,no_aux_response,hinge roof,inlineSuggest
Alternate,dfc8e75e-ba57-4542-b48c-bc3b19a6d9c0,72469c38219bd728ec17ccea378080ba,3c9b056a-2ef8-47da-94ba-a15cdba723b1,d33aa323566e87710962be9e15ec1d57,2026-02-12 22:43:37.739096-05:00,67,38,window wood,,,,no_aux_response,window wood,inlineSuggest
Baseline,0545687e-3b72-42eb-a8f8-b394e6559373,8a0bb1ec70f827f28b28fe38b6718a69,2e84b5d3-0bdd-4a02-83ed-e7a173f7d94b,ecea7fd349aeef96227277c0c15bf866,2026-02-12 23:08:49.374477-05:00,80,18,hinge,,,,no_aux_response,hinge,inlineSuggest
Baseline,0545687e-3b72-42eb-a8f8-b394e6559373,8a0bb1ec70f827f28b28fe38b6718a69,993b6442-ac65-478c-bb31-5d6788b5d268,f2694657a83f0853b8ad139130ccb035,2026-02-12 23:08:50.446535-05:00,86,32,isulation deck,,,,no_aux_response,isulation deck,inlineSuggest
Baseline,0545687e-3b72-42eb-a8f8-b394e6559373,8a0bb1ec70f827f28b28fe38b6718a69,8f79e8c9-fa1d-493e-8def-f722f30f5495,55118476637f72febbd1ef6a807d5509,2026-02-12 23:08:51.839820-05:00,58,20,tile fl,,,,no_aux_response,tile fl,inlineSuggest
Baseline,0545687e-3b72-42eb-a8f8-b394e6559373,8a0bb1ec70f827f28b28fe38b6718a69,4801c5a3-6373-43a6-89ec-1eea9ea00631,3b69ac6878580d05d8f8f39ea11523e6,2026-02-12 23:08:52.243996-05:00,46,110,painting ham,,,,no_aux_response,painting ham,inlineSuggest
Alternate,264d8603-e30a-4f5f-8868-85f69fca6033,ea1a0e9478bf5014b740e5136ab6908e,d17354f9-1a56-4dde-b2d5-7206a52e259e,855fb05366aab4e0c4210fcb32b49ac2,2026-02-12 23:14:01.928679-05:00,91,16,tile d,,,,warm_store_hit,tile deck,inlineSuggest
Alternate,264d8603-e30a-4f5f-8868-85f69fca6033,ea1a0e9478bf5014b740e5136ab6908e,16d67c56-5131-4ea7-9519-0d1e0e7e1d19,313fa5ca7eabdf1934fd777568cd08bc,2026-02-12 23:14:02.535649-05:00,104,116,hinge inyl,,,,warm_store_hit,hinge inyl,inlineSuggest
Alternate,264d8603-e30a-4f5f-8868-85f69fca6033,ea1a0e9478bf5014b740e5136ab6908e,97d480b6-584b-4644-8acd-1933c5d5efe1,f872e8008b950a76982d03bfd12bddb7,2026-02-12 23:14:03.782713-05:00,61,25,tile,,,,no_aux_response,tile,inlineSuggest
Baseline,d17d1d06-4b92-4d4d-aa38-2ad7ffff9c9d,62123f501da15abf2c3ab1600bedc07b,333000fa-9659-4e50-826a-3fc6275b051f,cd102e35a5d5d2e634d1ddf2033df125,2026-02-13 02:07:02.833480-05:00,87,4,symbol train,[1],,,no_aux_response,symbol train,resultsPage
Baseline,d17d1d06-4b92-4d4d-aa38-2ad7ffff9c9d,62123f501da15abf2c3ab1600bedc07b,07f78371-2c9a-4740-bbab-87677f0c5706,0624d6e1935c4525af7ec63ee74bd62e,2026-02-13 02:07:03.853355-05:00,50,14,symbol trai,,,,no_aux_response,symbol trai,inlineSuggest
Baseline,d17d1d06-4b92-4d4d-aa38-2ad7ffff9c9d,62123f501da15abf2c3ab1600bedc07b,86d88f19-a61b-4c60-8322-8090f0e583ce,d6f039a89dc9f03f1526fdbb98984ec8,2026-02-13 02:07:04.217205-05:00,59,38,hinge wood,,,,no_aux_response,hinge wood,inlineSuggest
Baseline,d17d1d06-4b92-4d4d-aa38-2ad7ffff9c9d,62123f501da15abf2c3ab1600bedc07b,73485131-5321-4e34-9e8b-f4c4d95973cc,43b5ff57b585703355f04b8e9f239f55,2026-02-13 02:07:04.772840-05:00,55,8,drill rof,,,,no_aux_response,drill roof,inlineSuggest
Baseline,d17d1d06-4b92-4d4d-aa38-2ad7ffff9c9d,62123f501da15abf2c3ab1600bedc07b,73d484ed-1e84-44e5-824b-a53cfff8f98c,02502b749f4b68ce6cb0858b986f714b,2026-02-13 02:07:05.150834-05:00,50,126,primer wood,[58],,,no_aux_response,primer wood,resultsPage
Baseline,d17d1d06-4b92-4d4d-aa38-2ad7ffff9c9d,62123f501da15abf2c3ab1600bedc07b,9c82c8ea-1df3-495f-a7fa-6626032962c7,a62d9f32ca2739148d3b7365fbe36a69,2026-02-13 02:07:06.028406-05:00,85,31,hinge deck,,,,no_aux_response,hinge deck,inlineSuggest
Alternate,1b6200b5-3a1c-4e61-9c3d-67844ff0d44a,b585af5d19f4a196ad5461c852f082d4,f5bb7af7-209c-459a-ad7a-7272ddafa000,dcbffe7d8313253d102e60ddf95b80e7,2026-02-13 02:20:43.737040-05:00,45,45,window deck,,,,no_aux_response,window deck,inlineSuggest
Alternate,1b6200b5-3a1c-4e61-9c3d-67844ff0d44a,b585af5d19f4a196ad5461c852f082d4,fc09ca33-86cb-4e91-994e-703707294d81,4243aa83c027c4e342135ed965d30c4c,2026-02-13 02:20:43.858638-05:00,136,107,glue deck,"[12, 5, 21]",,,warm_store_hit,glue deck,resultsPage
Alternate,1b6200b5-3a1c-4e61-9c3d-67844ff0d44a,b585af5d19f4a196ad5461c852f082d4,647caf29-fadd-4d00-9478-14ccb40e1827,c0a9197583babf41e48829d5597aacd8,2026-02-13 02:20:45.566327-05:00,149,102,laddr deck,,,,warm_store_hit,laddr deck,inlineSuggest
Baseline,8592eb1c-a648-4ba3-88d0-6b1798ba2fc1,89255eee26d637e70b5b05bdafd0f56d,d38a25ec-12e2-4360-ac1c-3d03efece453,639b7b2b85dd67af0ac465a65e610f74,2026-02-13 02:26:07.258040-05:00,78,70,sealant vinyl,"[2, 1]",,,no_aux_response,sealant vinyl,resultsPage
Baseline,fef773c2-9128-433c-9cf5-db7f47567b8d,bc10e85051a177d68c375aa342b1ee6a,0e427920-7f87-4c6b-b967-a568d36ef796,257f305f4cf5e167d25d5d864267ac88,2026-02-13 02:31:33.082674-05:00,72,73,hinge heater,,,,no_aux_response,hinge heater,inlineSuggest
Baseline,fef773c2-9128-433c-9cf5-db7f47567b8d,bc10e85051a177d68c375aa342b1ee6a,c1d35eb8-010b-44a3-b690-b375fcf1a75a,d72ba4214b4ea2d1edd79119dc703b78,2026-02-13 02:31:33.557891-05:00,77,32,hinge,,,,no_aux_response,hinge,inlineSuggest
Baseline,fef773c2-9128-433c-9cf5-db7f47567b8d,bc10e85051a177d68c375aa342b1ee6a,6eaf4c48-78cb-4a8d-a8b8-5a18d40c964b,986f116bd5b2b114760df186044a8cb2,2026-02-13 02:31:34.989831-05:00,63,94,plywoo,,,,no_aux_response,plywoo,inlineSuggest
Baseline,fef773c2-9128-433c-9cf5-db7f47567b8d,bc10e85051a177d68c375aa342b1ee6a,b284dd81-b73f-42be-85db-c717b8c9a9d9,143b4fe0efd917517e588593d0015a40,2026-02-13 02:31:35.121479-05:00,29,31,drill heaoer,,,,no_aux_response,drill heaoer,inlineSuggest
Baseline,fef773c2-9128-433c-9cf5-db7f47567b8d,bc10e85051a177d68c375aa342b1ee6a,b4bfb5d8-b9a7-4e28-93af-5a8919f654ef,7d2d20809d37fa3472a15aefd2486224,2026-02-13 02:31:36.376021-05:00,29,23,composites cotton 8ft,"[21, 2]",,,no_aux_response,composites cotton 8ft,resultsPage
Alternate,8762f764-7b8b-4f66-8b75-2baa0ca28dae,cfdf585e4ebac8f9237d5f92cc02316b,16fd8256-c9d3-4476-9bcc-6a09ae78cb09,5ddaf2dc97dff8784e0a8f3adc50aeea,2026-02-13 04:43:52.810394-05:00,66,201,pla,,,,warm_store_hit,pla,inlineSuggest
Alternate,d60cb9b9-3ad9-47b9-8f0c-7c1235f8429c,cbabf7f1987221b2bfa959d168e783c4,e81e2832-91dd-49e8-a9af-21117fc702a9,2a78fac302e27616274081c0ce62c35e,2026-02-13 05:01:58.523025-05:00,85,36,plywod hammer,,,,no_aux_response,plywod hammer,inlineSuggest
Alternate,d60cb9b9-3ad9-47b9-8f0c-7c1235f8429c,cbabf7f1987221b2bfa959d168e783c4,6c2784d6-b43a-43bd-8433-78502430c172,a0d7f3c36c3588bd57109d339fdace87,2026-02-13 05:01:59.831208-05:00,59,67,plywood hammer,[1],,,no_aux_response,plywood hammer,resultsPage
Alternate,d60cb9b9-3ad9-47b9-8f0c-7c1235f8429c,cbabf7f1987221b2bfa959d168e783c4,69c64eca-20f3-4f82-9934-e20983c619d3,8c676efed342ecd143970c043d2e373e,2026-02-13 05:02:01.270451-05:00,54,12,plywood hammer,,,,no_aux_response,plywood hammer,resultsPage
Alternate,d60cb9b9-3ad9-47b9-8f0c-7c1235f8429c,cbabf7f1987221b2bfa959d168e783c4,f2f1f5b9-bf55-472f-8a72-f667af2cf5ec,f8d447f1ef67e05eee5c808c77d43c7f,2026-02-13 05:02:01.435510-05:00,73,10,composites accounts,,,,fresh_compute_saved,composites accounts,inlineSuggest
Alternate,d249c6a8-0833-4788-aa4d-707f8aebab40,152dcbc2117fc856d542306874f44fe7,169ab0f7-a58e-41f3-9eb6-a06e5393daa1,031578315f104097b4f137291341ffe3,2026-02-13 06:19:05.160749-05:00,90,67,cabinetd eck,,,,no_aux_response,cabinet deck,inlineSuggest
Alternate,d249c6a8-0833-4788-aa4d-707f8aebab40,152dcbc2117fc856d542306874f44fe7,9500db2c-1692-4074-9f98-f9f4ca5173ca,7efe42b3ea3f7d8cfa1f6590f84a41b5,2026-02-13 06:19:06.922405-05:00,104,147,painting hamme,,,,warm_store_hit,painting hammer,inlineSuggest
Alternate,d249c6a8-0833-4788-aa4d-707f8aebab40,152dcbc2117fc856d542306874f44fe7,216114ae-e94d-4085-a0a1-ac13ac1a1e1d,7ffad3d3eb999af4e1267595cc3de09d,2026-02-13 06:19:07.207881-05:00,49,202,paintin,,,,warm_store_hit,paintin,inlineSuggest
Alternate,d249c6a8-0833-4788-aa4d-707f8aebab40,152dcbc2117fc856d542306874f44fe7,4d7e3464-f0ea-4f1f-8757-b65d33ba0ae0,75dc47cb0b86aee5fa30541d7842e479,2026-02-13 06:19:07.224879-05:00,95,207,plywood,,,,warm_store_hit,plywood,inlineSuggest
Baseline,377f99f3-644c-4fb5-a8cb-3a8118a91075,19906c5b014341ad3eebdbd3dab4b37f,388f857b-d37f-44e1-acdd-485f3471cab3,3965f7befd703456f55ffbbe14987ab4,2026-02-13 07:02:50.797076-05:00,41,43,bestbuy,,,,no_aux_response,bestbuy,inlineSuggest
Baseline,377f99f3-644c-4fb5-a8cb-3a8118a91075,19906c5b014341ad3eebdbd3dab4b37f,9e21171f-e1b0-459a-a684-beb797da674b,26a64b5534e7d67cec2a61e03f2cec21,2026-02-13 07:02:51.433923-05:00,40,47,hinge wood,,,,no_aux_response,hinge wood,inlineSuggest
Baseline,377f99f3-644c-4fb5-a8cb-3a8118a91075,19906c5b014341ad3eebdbd3dab4b37f,f9c8863c-61a3-4af3-a323-31da2457465e,57b4264d5932ec040c0edd3496bf7898,2026-02-13 07:02:52.415105-05:00,60,27,screw,,,,no_aux_response,screw drywall,inlineSuggest
Baseline,377f99f3-644c-4fb5-a8cb-3a8118a91075,19906c5b014341ad3eebdbd3dab4b37f,0acd1e55-12f9-4dbd-a1ca-30113134e6e4,0e91263a4ff9d5b4256ca3d051aafb3d,2026-02-13 07:02:53.858674-05:00,71,42,doorway,,,,no_aux_response,doorway,inlineSuggest
Alternate,235318ef-f549-417f-8cb8-c1d9593bd228,88031931591858500f3cf277311f111d,2a495c69-f9f6-4ff8-a892-cb5bc6ae43e6,2d9d29345976158a9f29459c10d9aff2,2026-02-13 07:08:41.742161-05:00,77,70,ladder dcek,,,,no_aux_response,ladder dcek,inlineSuggest
Alternate,af53a2d1-69e9-4cb2-863e-c06f20eb7968,0d5af5e06f4c6c403453999c8556c8a6,b59d3e3a-c05a-4c17-9c43-e132c05b471f,68363fb33bf1c9b70875da61cdd6beda,2026-02-13 07:14:11.752270-05:00,61,112,insulation hammer,"[90, 1, 10, 24]",,,no_aux_response,insulation hammer,resultsPage
Alternate,c5cd30f1-dd1c-4679-8794-e0bc0442c786,e24c1bc230e3aaad64fe736c7382d72a,72cc3981-4263-4bc0-8f29-43545a7dc233,798153fb64496bf2018defdb87267130,2026-02-13 08:06:49.779190-05:00,74,90,ladder de,,,,warm_store_hit,ladder de,inlineSuggest
Alternate,31807abe-d4a1-430d-80d7-7e5d936cfa4a,88ab50df166dfada0c7f9666f7deb109,420baa04-8ff4-4d6b-8840-2e853e10d9b0,c87a0cc64d0fa04b362150d54bebae5c,2026-02-13 08:26:57.245521-05:00,110,26,paintin,,,,warm_store_hit,paintin,inlineSuggest
